,tracking_number,boiler_id,report_type,pressure_type,inspection_date,defects_exist,lff_45_days,lff_180_days,filing_fee,total_amount_paid,report_status,bin_number
59,2017-40000062460Y0001-20861,40000062460Y0001,Initial,Low Pressure,05/01/2017 00:00:00,Yes,0,0,30,0,Accepted,4006281
60,2017-40000063019Y0001-69899,40000063019Y0001,Initial,Low Pressure,06/27/2017 00:00:00,No,0,0,30,0,Accepted,4121798
61,2017-40000069854Y0001-2728,40000069854Y0001,Initial,Low Pressure,06/01/2017 00:00:00,Yes,0,0,30,0,Accepted,4442409
62,2017-40000070958N0001-6097,40000070958N0001,Initial,Low Pressure,02/28/2017 00:00:00,No,0,0,30,0,Accepted,4017048
63,2017-40000078534N0001-20871,40000078534N0001,Initial,Low Pressure,05/01/2017 00:00:00,No,0,0,30,0,Accepted,4006912
64,2017-40000081784N0001-28406,40000081784N0001,Initial,Low Pressure,06/09/2017 00:00:00,Yes,0,0,30,0,Accepted,4445393
65,2017-40000085658N0001-13747,40000085658N0001,Initial,Low Pressure,07/13/2017 00:00:00,No,0,0,30,0,Accepted,4210135
66,2017-40000086040N0002-19157,40000086040N0002,Initial,Low Pressure,06/15/2017 00:00:00,No,0,0,30,0,Accepted,4224410
67,2017-40000092528N0001-30544,40000092528N0001,Initial,Low Pressure,06/21/2017 00:00:00,No,0,0,30,0,Accepted,4216224
68,2017-40000100611N0001-29560,40000100611N0001,Initial,Low Pressure,06/13/2017 00:00:00,Yes,0,0,30,0,Accepted,4248625
69,2017-40000110265N0001-48218,40000110265N0001,Initial,Low Pressure,07/25/2017 00:00:00,No,0,0,30,0,Accepted,4239450
70,2017-40000111292N0001-33127,40000111292N0001,Initial,Low Pressure,02/03/2017 00:00:00,No,0,0,30,0,Accepted,4303693
71,2017-40000112259N0001-41679,40000112259N0001,Initial,Low Pressure,06/27/2017 00:00:00,Yes,0,0,30,0,Accepted,4081572
72,2017-40000166716Y0001-28078,40000166716Y0001,Initial,Low Pressure,03/27/2017 00:00:00,No,0,0,30,0,Accepted,4007415
73,2017-40000825018N0002-43696,40000825018N0002,Initial,Low Pressure,02/23/2017 00:00:00,No,0,0,30,0,Accepted,4003140
74,2017-50000816260N0001-4077,50000816260N0001,Initial,Low Pressure,03/22/2017 00:00:00,Yes,0,0,30,0,Accepted,5043182
75,2018-10000009508Y0001-99553,10000009508Y0001,Initial,Low Pressure,08/21/2018 00:00:00,No,0,0,0,0,Accepted,1006125
76,2018-10000027286Y0001-132059,10000027286Y0001,Initial,Low Pressure,12/06/2018 00:00:00,No,0,0,30,30,Accepted,1077098
77,2018-20000068931Y0001-104248,20000068931Y0001,Initial,Low Pressure,09/10/2018 00:00:00,No,0,0,30,30,Accepted,2041776
78,2018-20000073146N0003-65320,20000073146N0003,Initial,Low Pressure,04/11/2018 00:00:00,No,0,0,30,30,Accepted,2097396
79,2018-20000074639Y0001-50346,20000074639Y0001,Initial,Low Pressure,02/13/2018 00:00:00,No,0,0,30,30,Accepted,2045401
80,2018-20000075818Y0003-42139,20000075818Y0003,Initial,Low Pressure,01/09/2018 00:00:00,No,0,0,30,30,Accepted,2094310
81,2018-20000076018Y0002-42066,20000076018Y0002,Initial,Low Pressure,01/09/2018 00:00:00,No,0,0,30,30,Accepted,2113742
82,2018-20000077458Y0001-111707,20000077458Y0001,Initial,Low Pressure,10/04/2018 00:00:00,No,0,0,30,30,Accepted,2116212
83,2018-20000099857N0001-111782,20000099857N0001,Initial,Low Pressure,09/12/2018 00:00:00,No,0,0,30,30,Accepted,2091356
84,2018-20000099925N0001-102398,20000099925N0001,Initial,Low Pressure,08/07/2018 00:00:00,No,0,0,30,30,Accepted,2092317
85,2018-20000113441N0001-75392,20000113441N0001,Initial,Low Pressure,05/29/2018 00:00:00,No,0,0,30,30,Accepted,2003391
86,2018-20000160423N0001-96559,20000160423N0001,Initial,Low Pressure,08/10/2018 00:00:00,No,0,0,30,30,Accepted,2094702
87,2018-20000165686N0002-137076,20000165686N0002,Initial,Low Pressure,12/12/2018 00:00:00,No,0,0,30,30,Accepted,2080263
88,2018-20000166007Y0001-101114,20000166007Y0001,Initial,Low Pressure,08/21/2018 00:00:00,No,0,0,30,30,Accepted,2009925
89,2018-20000200355Y0001-66210,20000200355Y0001,Initial,Low Pressure,04/25/2018 00:00:00,No,0,0,30,30,Accepted,2128753
90,2018-20000200925N0001-65253,20000200925N0001,Initial,Low Pressure,04/18/2018 00:00:00,No,0,0,30,30,Accepted,2096413
91,2018-20000202675Y0002-108457,20000202675Y0002,Initial,Low Pressure,09/24/2018 00:00:00,No,0,0,30,30,Accepted,2013244
92,2018-20000923594Y0001-113800,20000923594Y0001,Initial,Low Pressure,10/09/2018 00:00:00,No,0,0,30,30,Accepted,2049377
93,2018-20000925738Y0001-94562,20000925738Y0001,Initial,Low Pressure,08/03/2018 00:00:00,No,0,0,30,30,Accepted,2011052
94,2018-30000005085Y0001-104196,30000005085Y0001,Initial,Low Pressure,08/24/2018 00:00:00,No,0,0,30,30,Accepted,3129917
95,2018-30000006625Y0001-43686,30000006625Y0001,Initial,Low Pressure,01/16/2018 00:00:00,No,0,0,30,30,Accepted,3165415
96,2018-30000008931N0001-120815,30000008931N0001,Initial,Low Pressure,11/01/2018 00:00:00,No,0,0,30,30,Accepted,3003292
97,2018-30000009194Y0001-119681,30000009194Y0001,Initial,Low Pressure,09/20/2018 00:00:00,No,0,0,30,30,Accepted,3081469
98,2018-30000017922N0002-102646,30000017922N0002,Initial,Low Pressure,08/02/2018 00:00:00,No,0,0,30,30,Accepted,3129381
99,2018-30000023966Y0001-43690,30000023966Y0001,Initial,Low Pressure,01/17/2018 00:00:00,No,0,0,30,30,Accepted,3136150
100,2018-30000033731Y0001-82876,30000033731Y0001,Initial,Low Pressure,06/21/2018 00:00:00,No,0,0,30,30,Accepted,3066073
101,2018-30000034224Y0001-138959,30000034224Y0001,Initial,Low Pressure,12/17/2018 00:00:00,No,0,0,30,30,Accepted,3020829
102,2018-30000034721Y0001-125447,30000034721Y0001,Initial,Low Pressure,10/09/2018 00:00:00,No,0,0,30,30,Accepted,3011580
103,2018-30000061798Y0001-139515,30000061798Y0001,Initial,Low Pressure,12/05/2018 00:00:00,No,0,0,30,30,Accepted,3044103
104,2018-30000063031Y0001-59508,30000063031Y0001,Initial,Low Pressure,03/26/2018 00:00:00,No,0,0,30,30,Accepted,3326132
105,2018-30000068094Y0001-72733,30000068094Y0001,Initial,Low Pressure,05/16/2018 00:00:00,No,0,0,30,30,Accepted,3075146
106,2018-30000068253Y0001-136683,30000068253Y0001,Initial,Low Pressure,12/12/2018 00:00:00,No,0,0,30,30,Accepted,3031899
107,2018-30000068577Y0001-56619,30000068577Y0001,Initial,Low Pressure,02/21/2018 00:00:00,No,0,0,30,30,Accepted,3086449
108,2018-30000077518N0001-128475,30000077518N0001,Initial,Low Pressure,11/27/2018 00:00:00,No,0,0,30,30,Accepted,3109606
109,2018-30000078136N0001-149997,30000078136N0001,Initial,Low Pressure,12/28/2018 00:00:00,Yes,0,0,30,30,Accepted,3102972
110,2018-30000090137N0002-60547,30000090137N0002,Initial,Low Pressure,03/05/2018 00:00:00,No,0,0,0,0,Accepted,3338214
111,2018-30000098700N0001-80254,30000098700N0001,Initial,Low Pressure,05/23/2018 00:00:00,No,0,0,30,30,Accepted,3158968
112,2018-30000099104N0001-79710,30000099104N0001,Initial,Low Pressure,06/13/2018 00:00:00,No,0,0,30,30,Accepted,3153674
113,2018-30000099259N0001-84593,30000099259N0001,Initial,Low Pressure,06/28/2018 00:00:00,No,0,0,30,30,Accepted,3121668
114,2018-30000110776N0001-121009,30000110776N0001,Initial,Low Pressure,11/02/2018 00:00:00,No,0,0,30,30,Accepted,3077600
115,2018-30000114631N0001-134911,30000114631N0001,Initial,Low Pressure,12/14/2018 00:00:00,No,0,0,30,30,Accepted,3051291
116,2018-30000114925N0001-101351,30000114925N0001,Initial,Low Pressure,07/10/2018 00:00:00,No,50,0,30,80,Accepted,3417892
117,2018-30000150166Y0001-79364,30000150166Y0001,Initial,Low Pressure,06/12/2018 00:00:00,No,0,0,30,30,Accepted,3075955
118,2019-10000024697Y0001-204473,10000024697Y0001,Initial,Low Pressure,09/02/2019 00:00:00,No,0,0,30,30,Accepted,1001777
119,2019-40000013295Y0001-186218,40000013295Y0001,Initial,Low Pressure,06/19/2019 00:00:00,No,0,0,30,30,Accepted,4051134
120,2019-40000026562N0002-226173,40000026562N0002,Initial,Low Pressure,11/21/2019 00:00:00,Yes,0,0,30,30,Accepted,4229915
121,2019-40000046158N0002-152033,40000046158N0002,Initial,Low Pressure,01/28/2019 00:00:00,No,0,0,30,30,Accepted,4081317
122,2019-40000048124Y0002-203951,40000048124Y0002,Initial,Low Pressure,08/26/2019 00:00:00,No,0,0,30,30,Accepted,4052768
123,2019-40000056592N0001-225682,40000056592N0001,Initial,Low Pressure,11/20/2019 00:00:00,No,0,0,0,0,Accepted,4113348
124,2019-40000059904N0001-210659,40000059904N0001,Initial,Low Pressure,09/26/2019 00:00:00,No,0,0,30,30,Accepted,4031402
125,2019-40000060702N0001-178941,40000060702N0001,Initial,Low Pressure,05/21/2019 00:00:00,No,0,0,30,30,Accepted,4201716
126,2019-40000064001N0001-212242,40000064001N0001,Initial,Low Pressure,10/02/2019 00:00:00,No,0,0,30,30,Accepted,4025569
127,2019-40000065736N0002-234966,40000065736N0002,Initial,Low Pressure,12/20/2019 00:00:00,No,0,0,0,0,Accepted,4054168
128,2019-40000066143N0001-219366,40000066143N0001,Initial,Low Pressure,09/26/2019 00:00:00,No,0,0,30,30,Accepted,4187908
129,2019-40000066201N0001-164031,40000066201N0001,Initial,Low Pressure,03/26/2019 00:00:00,No,0,0,0,0,Accepted,4301803
130,2019-40000066561N0001-199751,40000066561N0001,Initial,Low Pressure,07/29/2019 00:00:00,Yes,0,0,30,30,Accepted,4203843
131,2019-40000067356Y0001-169089,40000067356Y0001,Initial,Low Pressure,04/15/2019 00:00:00,No,0,0,30,30,Accepted,4536731
132,2019-40000074827N0001-213381,40000074827N0001,Initial,Low Pressure,10/07/2019 00:00:00,No,0,0,30,30,Accepted,4093553
133,2019-40000081491N0001-200033,40000081491N0001,Initial,Low Pressure,08/06/2019 00:00:00,No,0,0,30,30,Accepted,4052837
134,2019-40000082767N0001-189296,40000082767N0001,Initial,Low Pressure,07/01/2019 00:00:00,No,0,0,0,0,Accepted,4187851
135,2019-40000108795N0001-227158,40000108795N0001,Initial,Low Pressure,11/21/2019 00:00:00,No,0,0,0,0,Accepted,4217620
136,2019-40000111674N0002-184132,40000111674N0002,Initial,Low Pressure,05/30/2019 00:00:00,No,0,0,30,30,Accepted,4535406
137,2019-40000113303N0001-217167,40000113303N0001,Initial,Low Pressure,10/09/2019 00:00:00,No,0,0,30,30,Accepted,4082943
138,2019-40000162003N0001-237809,40000162003N0001,Initial,Low Pressure,12/11/2019 00:00:00,No,0,0,30,30,Accepted,4117181
139,2019-40000168203N0001-226611,40000168203N0001,Initial,Low Pressure,11/06/2019 00:00:00,No,0,0,30,30,Accepted,4084527
140,2019-40000174012N0001-209220,40000174012N0001,Initial,Low Pressure,08/28/2019 00:00:00,No,0,0,30,30,Accepted,4230904
141,2019-40000200527Y0002-193219,40000200527Y0002,Initial,Low Pressure,07/16/2019 00:00:00,No,0,0,30,30,Accepted,4432149
142,2019-50000067822N0005-187773,50000067822N0005,Initial,Low Pressure,06/25/2019 00:00:00,No,0,0,30,30,Accepted,5014290
143,2020-10000013453Y0001-250461,10000013453Y0001,Initial,Low Pressure,01/06/2020 00:00:00,No,0,0,30,30,Accepted,1052195
144,2019-50000101732N0001-154690,50000101732N0001,Initial,Low Pressure,02/20/2019 00:00:00,No,0,0,30,30,Accepted,5106589
145,2020-10000009918Y0002-296955,10000009918Y0002,Initial,Low Pressure,08/18/2020 00:00:00,No,0,0,30,30,Accepted,1062777
146,2020-10000010771Y0001-242295,10000010771Y0001,Initial,Low Pressure,01/14/2020 00:00:00,No,0,0,30,30,Accepted,1062744
147,2020-10000011846Y0001-321908,10000011846Y0001,Initial,Low Pressure,11/11/2020 00:00:00,No,0,0,30,30,Accepted,1011379
148,2020-10000022287Y0001-268744,10000022287Y0001,Initial,Low Pressure,05/20/2020 00:00:00,No,0,0,30,30,Accepted,1011189
149,2020-10000024125Y0002-276749,10000024125Y0002,Initial,Low Pressure,06/23/2020 00:00:00,No,0,0,30,30,Accepted,1002395
150,2020-10000025145Y0001-270525,10000025145Y0001,Initial,Low Pressure,06/02/2020 00:00:00,No,0,0,30,30,Accepted,1066874
151,2020-10000041454Y0001-285203,10000041454Y0001,Initial,Low Pressure,07/15/2020 00:00:00,No,0,0,30,30,Accepted,1016161
152,2020-10000069090N0001-270507,10000069090N0001,Initial,Low Pressure,06/02/2020 00:00:00,No,0,0,30,30,Accepted,1001682
153,2020-10000069513N0001-247656,10000069513N0001,Initial,Low Pressure,01/24/2020 00:00:00,No,0,0,30,30,Accepted,1048903
154,2020-10000070674Y0003-293675,10000070674Y0003,Initial,Low Pressure,08/18/2020 00:00:00,No,0,0,0,0,Accepted,1084876
155,2020-10000073011Y0002-267595,10000073011Y0002,Initial,Low Pressure,05/14/2020 00:00:00,No,0,0,30,30,Accepted,1004715
156,2020-10000075445Y0001-306049,10000075445Y0001,Initial,Low Pressure,09/16/2020 00:00:00,No,0,0,0,0,Accepted,1062520
157,2020-20000033375Y0001-273796,20000033375Y0001,Initial,Low Pressure,06/15/2020 00:00:00,No,0,0,30,30,Accepted,2028217
158,2020-10000115156N0001-323452,10000115156N0001,Initial,High Pressure,11/17/2020 00:00:00,No,0,0,30,30,Accepted,1014488
159,2020-10000156909Y0001-254815,10000156909Y0001,Initial,Low Pressure,01/28/2020 00:00:00,No,0,0,30,30,Accepted,1010033
160,2020-10000164612Y0002-241131,10000164612Y0002,Initial,Low Pressure,01/10/2020 00:00:00,No,0,0,30,30,Accepted,1089862
161,2020-10000165812N0001-302604,10000165812N0001,Initial,Low Pressure,09/10/2020 00:00:00,No,0,0,30,30,Accepted,1088204
162,2020-10000200019Y0002-266117,10000200019Y0002,Initial,Low Pressure,04/30/2020 00:00:00,No,0,0,30,30,Accepted,1060677
163,2020-10000200339Y0002-273924,10000200339Y0002,Initial,Low Pressure,06/05/2020 00:00:00,No,0,0,30,30,Accepted,1057003
164,2020-10000206100N0001-257297,10000206100N0001,Initial,Low Pressure,03/05/2020 00:00:00,No,0,0,30,30,Accepted,1048782
165,2020-10000207107Y0001-323174,10000207107Y0001,Initial,Low Pressure,11/11/2020 00:00:00,No,0,0,30,30,Accepted,1049971
166,2020-10000903586Y0001-241627,10000903586Y0001,Initial,Low Pressure,01/13/2020 00:00:00,No,0,0,30,30,Accepted,1061383
167,2020-10000910915Y0001-294297,10000910915Y0001,Initial,Low Pressure,08/14/2020 00:00:00,No,0,0,30,30,Accepted,1054414
168,2020-10000913966Y0001-311354,10000913966Y0001,Initial,Low Pressure,10/07/2020 00:00:00,No,0,0,30,30,Accepted,1084983
169,2020-20000008083Y0001-256857,20000008083Y0001,Initial,Low Pressure,03/02/2020 00:00:00,Yes,0,0,0,0,Accepted,2014618
170,2020-20000013334Y0001-311245,20000013334Y0001,Initial,Low Pressure,10/09/2020 00:00:00,No,0,0,30,30,Accepted,2002774
171,2020-20000014388Y0001-320615,20000014388Y0001,Initial,Low Pressure,10/08/2020 00:00:00,No,0,0,30,30,Accepted,2004243
172,2020-20000014863Y0001-315339,20000014863Y0001,Initial,Low Pressure,10/09/2020 00:00:00,No,0,0,30,30,Accepted,2012894
173,2020-20000015536Y0001-272490,20000015536Y0001,Initial,Low Pressure,05/11/2020 00:00:00,No,0,0,30,30,Accepted,2007995
174,2020-20000060436N0001-330317,20000060436N0001,Initial,High Pressure,12/10/2020 00:00:00,No,0,0,0,0,Accepted,2109483
175,2020-20000067560N0001-292617,20000067560N0001,Initial,Low Pressure,08/10/2020 00:00:00,No,0,0,30,30,Accepted,2000915
176,2020-30000036698Y0001-281542,30000036698Y0001,Initial,Low Pressure,07/14/2020 00:00:00,No,0,0,30,30,Accepted,3002350
177,2020-20000074087Y0001-260718,20000074087Y0001,Initial,Low Pressure,03/19/2020 00:00:00,No,0,0,30,30,Accepted,2005983
178,2020-30000069534Y0001-306808,30000069534Y0001,Initial,Low Pressure,08/31/2020 00:00:00,No,0,0,0,0,Accepted,3055149
179,2020-30000167091N0001-242892,30000167091N0001,Initial,High Pressure,01/16/2020 00:00:00,No,0,0,30,30,Accepted,3330206
180,2020-30000167558Y0002-295127,30000167558Y0002,Initial,Low Pressure,08/21/2020 00:00:00,No,0,0,0,0,Accepted,3393508
181,2020-30000174230Y0004-255963,30000174230Y0004,Initial,Low Pressure,02/27/2020 00:00:00,No,0,0,30,30,Accepted,3398683
182,2020-30000203375N0002-312269,30000203375N0002,Initial,Low Pressure,09/23/2020 00:00:00,No,0,0,30,30,Accepted,3000262
183,2020-30000821503Y0001-246984,30000821503Y0001,Initial,Low Pressure,01/30/2020 00:00:00,No,0,0,30,30,Accepted,3071678
184,2020-30000822198Y0002-241644,30000822198Y0002,Initial,Low Pressure,01/13/2020 00:00:00,No,0,0,30,30,Accepted,3042158
185,2020-30000826790N0001-333150,30000826790N0001,Initial,Low Pressure,11/16/2020 00:00:00,No,0,0,30,30,Accepted,3322871
186,2020-30000939036Y0001-296906,30000939036Y0001,Initial,Low Pressure,07/24/2020 00:00:00,No,0,0,30,30,Accepted,3116630
187,2020-30000941365Y0001-315634,30000941365Y0001,Initial,Low Pressure,10/23/2020 00:00:00,No,0,0,30,30,Accepted,3258456
188,2020-40000003330Y0001-270871,40000003330Y0001,Initial,Low Pressure,06/03/2020 00:00:00,No,0,0,30,30,Accepted,4015344
189,2020-40000015083Y0001-317208,40000015083Y0001,Initial,Low Pressure,10/21/2020 00:00:00,No,0,0,30,30,Accepted,4114213
190,2020-40000027963N0002-277304,40000027963N0002,Initial,Low Pressure,05/26/2020 00:00:00,No,0,0,30,30,Accepted,4081446
191,2020-40000034014Y0001-295610,40000034014Y0001,Initial,Low Pressure,08/24/2020 00:00:00,No,0,0,30,30,Accepted,4456342
192,2020-40000039373Y0001-289520,40000039373Y0001,Initial,Low Pressure,08/05/2020 00:00:00,No,0,0,30,30,Accepted,4082834
193,2020-40000041178Y0001-314369,40000041178Y0001,Initial,Low Pressure,10/13/2020 00:00:00,No,0,0,30,30,Accepted,4193460
194,2020-40000041528Y0001-263081,40000041528Y0001,Initial,Low Pressure,04/03/2020 00:00:00,No,0,0,30,30,Accepted,4443757
195,2020-40000042896N0002-320492,40000042896N0002,Initial,Low Pressure,11/06/2020 00:00:00,No,0,0,30,30,Accepted,4023533
196,2020-40000045472Y0001-293688,40000045472Y0001,Initial,Low Pressure,08/17/2020 00:00:00,No,0,0,30,30,Accepted,4082923
197,2020-40000053474N0001-310732,40000053474N0001,Initial,Low Pressure,10/06/2020 00:00:00,No,0,0,30,30,Accepted,4253280
198,2020-40000060078N0001-325324,40000060078N0001,Initial,Low Pressure,11/24/2020 00:00:00,No,0,0,30,30,Accepted,4061175
199,2020-40000061103N0001-334378,40000061103N0001,Initial,Low Pressure,12/22/2020 00:00:00,No,0,0,30,30,Accepted,4279328
200,2020-40000061585Y0001-325980,40000061585Y0001,Initial,Low Pressure,11/12/2020 00:00:00,No,0,0,30,30,Accepted,4191440
201,2020-40000062846N0001-289663,40000062846N0001,Initial,Low Pressure,08/06/2020 00:00:00,No,0,0,30,30,Accepted,4071508
202,2020-40000063652Y0001-300918,40000063652Y0001,Initial,Low Pressure,09/10/2020 00:00:00,No,0,0,30,30,Accepted,4037984
